,0
0,ดอกดาหลา
1,น้ำซุปเป็ด
2,แฮม
3,ฟักทองต้ม
4,กิมจิ 
5,เนื้อขมิ้น
6,เลือดหมูก้อน
7,มะพร้าวขูดคั่ว
8,น้ำสลัด
9,เห็ดโคน
10,แห้ว
11,ซอสดำ
12,ซอสปรุงรส
13,หอมแดงเจียว
14,ขนมปังฝรั่งเศสเล็ก
15,มะระจีน
16,อบเชย
17,กุ้งสับ  
18,น้ำโซดาแช่เย็น
19,ปลาร้าสับ
20,ซอสมะเขือเทศ 
21,ผักกาดขาว
22,หอยนางรม
23,ปลานิล
24,ซอสหอยนางรม  
25,กระวาน
26,ข้าวสวยญี่ปุ่น
27,คืนฉ่าย
28,เกลือ 
29,ซีอิ๊วญี่ปุ่น
30,ซอสซีอิ๊วดำ
31,น้ำลอยดอกมะลิ
32,แหนม
33,พวงนมหมู
34,กระเจี๊ยบเขียว
35,นำมันพืชสำหรับทอดปลา
36,ผงขมิ้น
37,น้ำมะกรูด
38,มะเขือพวง
39,ยอดผักคะน้า 
40,ซุปหมู
41,กุ้งแห้ง  
42,เห็ดเป๋าฮื้อ
43,พวงไข่ไก่
44,กล้วยน้ำว้า
45,หมูหยอง
46,น้ำพริกแกงเผ็ด
47,น้ำผึ้ง
48,ไข่มดแดง
49,ปลาแห้ง
50,ผัดกระเฉด
51,น้ำมันรำข้าว
52,นมข้นจืด
53,เนื้อปู
54,ปูม้า
55,น้ำจิ้มซีฟู๊ด
56,ใบผักกาดหอม
57,ปลาช่อน
58,ปลาร้าต้มสุก
59,น้ำเปล่า
60,มิโสะ
61,ข้าวเหนียวแช่น้ำ
62,ผักกาดดอง
63,ฝักมะขามอ่อน
64,ซี่โครงกระดูกอ่อน
65,ไชโป้ว
66,เส้นผัดไทย
67,คะน้า
68,น้ำตาลปิ๊บ
69,น้ำกะทิ
70,พริกแห้ง
71,หมูสามชั้นแผ่นใหญ่
72,ไก่
73,ยอดผักคะน้า      
74,พริกชี้ฟ้า
75,เนื้อส่วนขาหมู
76,น้ำตาลปีี๊บ
77,ดอกขจร
78,ลูกเกต
79,เส้นบะหมี่
80,แป้งอเนกประสงค์
81,พริกชิ้ฟ้า
82,แป้งมัน
83,น้ำซุปไก่
84,พริกเสฉวน
85,งาคั่ว
86,รากบัว
87,มะนาว 
88,น้ำซุปหมู
89,มะเชือเทศ
90,ยอดตำลึง
91,เส้นใหญ่
92,แป้งข้าวจ้าว
93,ปลากระป๋อง
94,เก๊าลัดคั่ว
95,น้ำตาลกรวด
96,น้ำมันหมู
97,ใบไผ่
98,เนื้อปูม้า
99,ใบเหลียงอ่อน
100,พริกแห้งทอด
101,น้ำตาลปี๊บ  
102,พริกหวาน
103,ซอสมะเขือเทศ  
104,น้ำซุป
105,ปลากะพง
106,น้ำพริกเผา  
107,ใบตองและไม้กลัดสำหรับห่อข้าวเหนียว
108,พริกแกงเผ็ด
109,โปรตีนเกษตร
110,หางกะทิ
111,หมูเด้ง
112,คื่นฉ่าย
113,ดอกกระเจี๊ยบ
114,เผือก
115,ไข่ต้ม
116,เหล้าขาว
117,ยอดอ่อนผักปั๋ง
118,กุ้งแห้ง
119,เม็ดบัว
120,ใบบัวบก
121,ยอดผักกูด
122,มะเขือม่วง
123,ซอสถั่วเหลือง
124,แป้งทอดกรอบกรอบ
125,เหล้าจีน
126,ปลาทู
127,น้ำจิ้มลวกจิ้ม
128,ปลาทับทิม
129,ไข่เยี่ยวม้า
130,พริกไทยดำป่น
131,น้ำตาลปิ๊ป
132,น้ำตาลปี๊บ
133,น้ำซุปไก่ประมาณ
134,ชะอมเด็ดยอด
135,แตงกวา
136,ผักขึ้นฉ่าน
137,แป้งเค้ก
138,หมูสด
139,พริกแกงส้ม
140,ขนมปัง
141,ปลาเนื้ออ่อน
142,น้ำเย็นจัด
143,ใบเมี่ยง
144,มะพร้าวขูดผอย
145,เนื้อวัว
146,น้ำจิ้มทาริยากิ
147,ซีอิ้วขาว
148,ตะลิงปลิง
149,กบ
150,ผงยี่หร่า
151,ตะไคร้
152,วุ้นเส้น
153,ซิอิ๊วขาว
154,เส้นมะละกอ
155,ยอดผักคะน้า        
156,กระดูกหมู
157,ตับหมู
158,กล้วยน้ำว้าดิบ
159,เนื้อปลาอินทรี
160,น่้าปลา
161,หอมแดง
162,น้ำจิ้มเจ
163,ต้นหอมเป็นท่อน
164,แหนมหม้อ
165,แหนม 
166,เม็ดมะม่วงหิมพานต์
167,น้ำตาลปึก
168,น้ำจิ้มปอเปี๊ยทอด
169,ปากเป็ด
170,กระชาย  
171,ผงรสดี
172,ปลาอินทรีย์
173,ganmodoki
174,แป้ง
175,พริก
176,ไข่ไก่
177,เป็ดเชอรี่
178,น้ำมันพืชสำหรับทอดปลา
179,ไก่บ้าน
180,กุ่ยฉ่ายขาว
181,น้ำมันหอย
182,เม็ดตั้งฉ่าย
183,ผัดชี
184,น้ำมัน
185,ผักกาดหอม
186,งาขาว
187,หอยเชลล์
188,ซอส
189,น้ำเปล่า 
190,กานพลู
191,เห็ดเข็มทอง
192,เนื้อวัวส่วนติดมันและติดเอ็น
193,ซี่โครงหมู
194,นำมันพืช
195,ข้าวโพดอ่อน
196,น้ำจิ้มอาจาด
197,เม็ดสาคู
198,ผักกะหล่ำปลี
199,แป๊ะก๋วย
200,แผ่นเกี๊ยว
201,ฟักทอง 
202,ซอสมันหอย
203,เส้นจันทร์
204,ซอสถั่วเหลืง
205,เนื้อมะพร้าวขูด
206,เครื่องเทศ
207,รากผักชี
208,สาหร่ายทะเลอบแห้ง
209,ถั่วฝัก
210,น้ำเปล่า  
211,ปีกไก่
212,เห็นหอม
213,ใบตอง
214,ไข่นกกระทา
215,เนื้อมะเขีอเทศ
216,พริกทอด
217,ข้าวมัน
218,พริกป่น
219,มะเขือเทศ
220,เก็ดเผาะ
221,น้ำเย็น
222,น้ำจิ้มไก่
223,มะกรูด
224,เต้าทอด
225,ผิวมะนาว
226,ต้นอ่อนทานตะวัน
227,เนื้อปลาคัง
228,น้ำมันถั่วลิสง
229,หอยขม
230,พริกขี้กนูสวนเฉียง
231,ดอกอัญชัน
232,แครอต  
233,แซลมอน
234,ข้าวเบือ
235,ผงซุปเนื้อ
236,ปลาหมึก
237,แอปเปิลเขียว
238,ซีอิ๊วขาว  
239,ผักแขนง
240,ขาหมู
241,ตูน
242,เนื้อมะพร้าวทึนทึกขูด
243,ใบมะกรูด
244,ตะไคร้เป็นท่อน
245,หัวครอท
246,เส้นหมี่
247,ซอสซีอิ้วดำ
248,น้ำสะอาด
249,ถั่วเขียวนึ่ง
250,น้ำจิ้มปอเปี๊ยะ
251,มะพร้าวอ่อน
252,เกสรดอกชมพู่
253,น้ำจิ้มปอเปี้ยะทอด
254,กุนเชียง
255,ใบชะพลู    
256,ผงวุ้น
257,บอคโคลี่
258,น้ำพริกแกงคั่ว
259,ใบโหระพา
260,นํ้ามันพืช
261,น้ำปล่า
262,ปลาโจก
263,พริกหยวกสด
264,สาหร่าย
265,พริกแกงใต้
266,มะพร้าว
267,ส้มโอ
268,เห็ดนางฟ้า
269,ผักกวางตุ้ง
270,นมสด
271,น่องไก่
272,ลูกจันทน์เทศ
273,น้ำจิ้มข้าวมันไก่
274,พริกเม็ดใหญ่
275,ซีอิ๊วขาว   
276,น้ำตาลปี๊บสำหรับน้ำจิ้ม
277,แป้งทอดกรอบ
278,แคบหมู
279,งาเกลือ
280,เต้าซี่
281,หม้อต้มสำหรับนึ่ง
282,ซาวร์ครีม
283,ผงขมิ้นชันผสมอาหาร
284,บ็อกโคลี่
285,น้ำพริกแกงเผ็ด 
286,ยอดมะระอ่อน
287,หอมแดงเจียว 
288,ข่า  
289,ซ๊อสมะเขือเทศ
290,ซอสหอยนางรม
291,พริกขี้หนู
292,ซุปดาชิ
293,มะระสด
294,ผงปรุงลาบ-น้ำตกสำเร็จรูป  
295,ฟองเต้าหู้
296,ลูกกระวาน
297,ถั่วเหลือง
298,หมูยอ
299,เนื้อปลากราย
300,หอยหวาน
301,ข้าวโพดอ่อนและบวบ
302,ใบตะไคร้
303,ผักโขม
304,ถั่วพู
305,หน่อไม้ดอง
306,พริกแห้งเผา
307,หมูป่า
308,ใบย่านาง
309,พริกไทยอ่อน
310,น้ำตาลอ้อย
311,น้ำจิ้มบ๋วย
312,เนื้อมะพร้าวอ่อน
313,สะตอ
314,น้ำมันงา
315,ซอสมิโซะ
316,ผลแคนตาลูป
317,ปลาเล็กกรอบ
318,น้ำมันพืช  
319,ใบกระวาน
320,กระชาย 
321,น้ำพริกแกงส้ม
322,โอโคโนมิยากิ
323,ซี่โครงไก่
324,ปลาจะละเม็ด
325,นํ้าเปล่า
326,นมถั่วเหลือง
327,น้ำพริกเผา
328,กิมจิ
329,ซอสปรุงรสสำหรับหมักไก่
330,น้ำมันปาล์ม
331,น้ำมันพืชสำหรับทอด
332,ซีส
333,น้ำตาล
334,น้ำมะขามเปียก
335,ซีอิ๊วขาว 
336,หัวกะทิ
337,ผลสับปะรดสุก
338,ไข่เจียวชะอม
339,น้ำพริกกะปิ
340,ปลาดุก
341,หอยแมลงภู่
342,เนื้อปลาทู
343,โยเกิร์ตรสธรรมชาติ
344,ปลาร้า
345,มะเขือเปราะ
346,น้ำส้มสายชู
347,งา
348,น้ำมันงา  
349,หมูกรอบ 
350,วาซาบิ
351,breadcrumb
352,หน่อไม้ฝรั่ง
353,แป้งข้าวเจ้า
354,หนังเป็ด
355,หัวไชเท้า
356,พริกสดเฉียง
357,ตะไคร้สับ
358,ข้าวเหนียว
359,ม่ามาต้มยำ
360,เห็ดหูหนู
361,น้ำปลาร้า
362,กระเทียมสับ  
363,หอยแมลงภู่่
364,ปลาแซลมอน
365,น้ำแข็งป่น
366,หอม  
367,โป๊ยกั๊ก
368,ผักหวาน
369,แป้งเท้ายายม่อม
370,ผักสด
371,พุทรา
372,ปลาทะเล
373,เส้นพาสต้า
374,หมู 
375,น้ำใบเตยคั้นสด
376,ผงพะโล้
377,เส้นอูด้ง
378,ก้านดอกกะหล่ำ
379,เต้าหู้
380,ใบชะพลู   
381,พริกไทยดำ
382,ถั่วดำ
383,เนื้อปลาดุกย่าง
384,ผักสลัด
385,เนื้อขนุน
386,น้ำซุปกระดูก
387,ซอสปรุงรส  
388,พริกไทย
389,เต้าหู้ไข่
