,0
0,กระชาย 
1,แครอท
2,น้ำซุป
3,ขิง
4,ใบกะเพรา
5,เนื้อปลาดุก
6,ถั่วเขียวนึ่ง
7,เนื้อปลาดุกย่าง
8,พริกแกงพะแนง
9,ซอสน้ำมันหอย
10,เต้าหู้
11,ต้นอ่อนทานตะวัน
12,เนย
13,โอโคโนมิยากิ
14,หัวครอท
15,หอยหลอด
16,หัวกะทิคั้นสด
17,ข่า 
18,น้ำกะทิคั้นสด
19,หมูหยอง
20,เม็ดข้าวโพด
21,มิโสะ
22,เห็ดนางฟ้า
23,ต้นคื่นฉ่าย
24,หอยเชลล์
25,กะเทียมสด
26,น้ำจิ้มปอเปี้ยะทอด
27,น้ำโซดาแช่เย็น
28,คืนฉ่าย
29,ขนุน
30,วาซาบิ
31,ลูกจันทน์เทศ
32,น้ำมันพืช
33,กานพลู
34,ซอสปรุงรสอาหาร 
35,แป้งหมี่
36,ใบผักชี
37,ปลากะพง
38,ผงปรุงลาบ-น้ำตกสำเร็จรูป  
39,ไวน์แดง
40,ต้นหอมญี่ปุ่น
41,แอปเปิลเขียว
42,รากผัก
43,อบเชย
44,เม็ดสาคู
45,ถั่วงอก
46,ซอสมันหอย
47,เผือก
48,ซอสถั่วเหลือง
49,ส้มแขก
50,กล้วยน้ำว้าดิบ
51,ส้มโอ
52,มะเขือเจ้าพระยา
53,เห็ดโคน
54,ใบยี่หร่า
55,ขนมจีน
56,หนวดปลาหมึก
57,ฟักเขียวอ่อน
58,หมูกรอบ 
59,น้ำมันทอด
60,ซอสปรุงรสสำหรับหมักไก่
61,ซีอิ้วชาว
62,แครอต
63,ซิอิ๊วขาว
64,ถั่วเขียว
65,น้ำเปล่า  
66,แฮม
67,น้ำมันหมู
68,เต้าทอด
69,น้ำจิ้มปอเปี๊ยะ
70,สาเก
71,กะหล่ำปลี
72,น้ำซุปไก่ประมาณ
73,ข่า  
74,หอมแดงเจียว 
75,ซี่โครงกระดูกอ่อน
76,รากบัว
77,ซ๊อสมะเขือเทศ
78,เมล่อน
79,ใบไผ่
80,นมสด
81,น้ำแดง
82,น้ำมันพืช 
83,เนื้อวัว
84,หมูกรอบเจ
85,ตีนไก่
86,ใบกุยช่ายขาว
87,แป้งเท้ายายม่อม
88,พริกหยวกเขียว
89,ผงกาปิก้า
90,เนื้อปลาทู
91,ใบตองและไม้กลัดสำหรับห่อข้าวเหนียว
92,น้ำปลา
93,ไข่เป็ด
94,ส้ม
95,น้ำสับปะรด
96,แห้ว
97,ต้นหอมเป็นท่อน
98,พริกแห้งใหญ่
99,พริกแกงส้ม
100,กระดูกหมู
101,พริกไทยแห้ง
102,ไม้จิ้มฟัน
103,หมูเด้ง
104,ขนมปัง
105,เห็ดฟาง
106,งาขาว
107,คื่นฉ่าย
108,น้ำมันปาล์ม
109,ไชโป้ว
110,หัวปลี
111,ซีอิ้วขาว
112,อโวคาโด
113,พริกหยวกสด
114,เก็ดเผาะ
115,เนื้อปลา
116,พริกหวาน
117,น้ำพริกเผา
118,หมูยอ
119,แป้งสาคู
120,ยีส
121,ซอสมะขามเปียก
122,เนื้อมะม่วงสุก
123,น้ำหวานสีแดง
124,ยอดผักหวานป่าอ่อน
125,กะทิ
126,พริกชี้ฟ้าแดง
127,ยอดผักหวาน
128,น้ำกระเทียมดอง
129,โยเกิร์ตรสธรรมชาติ
130,พริกเหลือง
131,หอมหัวใหญ่
132,ผักแขนง
133,ซีอิ๊วขาว   
134,น้ำจิ้มอาจาด
135,นํ้าตาล
136,ข้าวญี่ปุ่นหุงสุก
137,เกล็ดขนมปัง
138,ใบชะพลู    
139,น้ำพริกน้ำปลา
140,ผงยี่หร่า
141,น้ำมันพืชสำหรับผัก
142,ฟักทองต้ม
143,ไก่
144,พริกขี้หนู
145,เห็ดมาริตา
146,พริกแกงฮังเล
147,ถัวลันเตา
148,น่องไก่
149,ข้าวเหนียวแช่น้ำ
150,น้ำตาลปี๊บ  
151,สายบัว
152,ซิอิ๊วดำ
153,มะละกอ
154,น้ำสะอาด
155,ผงซุปเนื้อ
156,น้ำเชื่อม
157,หอมแดงเจียว
158,ตับหมู
159,หอม
160,มะม่วงดิบ
161,น้ำมันพืชสำหรับทอดปลา
162,น้ำมันพืชสำหรับทอด
163,แป้ง
164,ปลาร้า
165,ยอดผักคะน้า 
166,น้ำตาล  
167,น้ำมันสำหรับทอดปลา
168,กระเทียมเจียว
169,พริกหยวกสีแดงกับสีเขียว
170,เกสรดอกชมพู่
171,ผักชี
172,เครื่องตุ๋นยาจีน
173,ใบย่านาง
174,น้ำพริกแกงป่า
175,มะเขือยาว
176,ซอสพริก
177,เส้นโซเม็ง
178,น้ำปล่า
179,พริกแกงคั่วเจ
180,ข้าวคั่ว
181,น้ำจิ้มซีฟู๊ด
182,กิมจิ
183,นม  
184,น้ำปลาสำหรับปรุงน้ำยำ
185,กุ้งสับ  
186,มันหมู
187,ผงแกงกะหรี่
188,น้ำมันพืชสำหรับผัด
189,ซอสปรุงรส  
190,พริกขี้กนูสวนเฉียง
191,ขากบ
192,บ็อกโคลี่
193,กุยช่ายขาว
194,หอมแดงซอย  
195,พริกทอด
196,ซอสดำ
197,เนื้อวัวส่วนติดมันและติดเอ็น
198,เนื้อปลากรายขูด
199,ซอสkatakuriko
200,น้ำซุปกระดูกไก่
201,เหล้าสาเก
202,น้ำแข็งป่น
203,ยอดผักกูด
204,ซี่โครงหมู
205,สับปะรด
206,น้ำซุปหมู
207,เนื้อปลาดอรี่
208,ก๋วยเตี๋ยวเส้นใหญ่
209,มะนาวคั้น
210,ไส้กรอก
211,พริกแห้ง
212,พริกเสฉวน
213,ใบชะมวงอ่อน
214,เหล้าขาว
215,ผักสด
216,เส้นกลาง
217,น้ำมันสำหรับทอดและผัด
218,แป้งทอดกรอบ
219,พริกแกง
220,ซอสซีอิ๊วดำ
221,ปลาเล็กกรอบ
222,แผ่นปอเปี๊ยะ
223,หอมแดง 
224,เนื้อขนุน
225,มิริน
226,ถั่วฝัก
227,เนื้อลิ้นจี่สด
228,ไข่ไก่  
229,น้ำจิ้มไก่แม่ประนอม
230,บอคโคลี่
231,ปลาร้าสับ
232,น้ำมะนามเปียก
233,ซีอิ่วขาว
234,ต้นหอมท่อนยาว
235,มันกุ้ง
236,น้ำมันรำข้าว
237,ปีกไก่
238,ใบตะไคร้
239,ดอกกะหล่ำ
240,ซีส
241,น้ำปลาร้า
242,กล้วยน้ำว้าสุก
243,ข้าวหุงสุก
244,น้ำจิ้มไก่
245,เนื้อมะเขีอเทศ
246,ผักตำลึง
247,ดอกกระเจี๊ยบ
248,สีผสมอาหาร
249,ซอสมะเขือเทศ
250,กะปิ
251,โชยุ
252,ไข่เค็ม
253,มะกรูด
254,พริกแห้งเผา
255,เนื้อฟักทอง
256,ใบกระวาน
257,พุทรา
258,ไก่บ้าน
259,พัวข่า อ่อน
260,เนื้อส้มโอ
261,หัวน้ำปลา
262,ผงวุ้น
263,ข้าวเหนียวเคี้ยวงู
264,ดอกขจร
265,มะเฟืองสุก
266,หมูสามชั้น
267,หอมหัวใหญ่  
268,ซอสจิ๊กโฉ่
269,ไข่เป็ด  
270,น้ำพริกแกงเขียวหวานเจ
271,ซอสหอยนางรม
272,เนื้อปลาทูน่ากระป๋อง
273,แหนมหม้อ
274,เส้นพาสต้า
275,ผักบุ้งไทย
276,มะตูมแห้ง
277,หมูป่า
278,เต้าเจี้ยว
279,ดอกมะขามอ่อน
280,ลูกกระวาน
281,เนื้อปลากด
282,น้ำจิ้มโดยประกอ้วย
283,ลูกยอสุก
284,เนื้อขนุนดิบ
285,เลือดหมูก้อน
286,พริกไทย
287,ไข่มดแดง
288,เนื้อเป็ด
289,เนื้อปูม้า
290,ปลาแห้ง
291,พริกกะเหรียง
292,ตับหมูสดเป็นชิ้น
293,พริกแห้งป่น
294,กระหล่ำปี
295,กุ้งแห้ง  
296,ผัดชี
297,ขนมปังฝรั่งเศสเล็ก
298,หมูยอเป็นชิ้น
299,เนื้อปลาเก๋า
300,คื้นฉ่าย
301,หอยแมลงภู่่
302,น้ำตาลปัี๊บ
303,คะน้า
304,น้ำพริกแกงคั่ว
305,น้ำเปล่า
306,ใบมะขามอ่อน
307,ซุปกระดูกไก่
308,เนื้อขมิ้น
309,ซอสทาริยากิ
310,ใบเมี่ยง
311,ถั่วดำ
312,น้ำตาลปึก
313,เนื้อมะพร้าวขูด
314,ปูอัด
315,ต้นผักชี
316,ขิงอ่อน
317,น้ำพริกเผา  
318,โรสแมรี่
319,ซอสถั่วเปลือง
